emp_no,birth_date,first_name,last_name,gender,hire_date
10183,1954-10-17,Mechthild,Bonifati,M,1996-08-11
10186,1953-07-16,Shigehito,Kropatsch,M,1986-03-28
10189,1955-11-12,Khalid,Erva,M,1989-10-05
10194,1954-01-29,Josyula,Hofmeyr,F,1989-05-15
10196,1954-01-27,Marc,Hellwagner,M,1994-11-16
10198,1953-05-28,Pranav,Furedi,M,1985-08-31
10203,1955-07-27,Steen,Escriba,M,1989-04-06
10205,1953-05-20,Mabhin,Leijenhorst,F,1993-08-23
10207,1955-05-28,Girolamo,Anandan,F,1992-10-11
10215,1954-04-02,Xiaobin,Duclos,M,1987-10-19
10217,1954-07-07,Yongmin,Roison,F,1986-05-12
10219,1952-05-02,Genta,Kolvik,M,1993-03-31
10224,1954-05-17,Leon,Trogemann,M,1988-01-09
10228,1953-04-21,Karoline,Cesareni,F,1991-08-26
10229,1952-02-10,Ulises,Takanami,M,1987-11-22
10230,1955-09-11,Clyde,Vernadat,M,1996-06-16
10233,1954-04-01,Lein,Vendrig,F,1985-07-05
10237,1952-09-22,Yannis,Mandell,F,1989-08-11
10239,1955-03-31,Nikolaos,Llado,F,1995-05-08
10240,1952-04-01,Remko,Maccarone,M,1998-10-06
10248,1955-09-24,Frederique,Tempesti,F,1991-08-13
10249,1954-06-10,Marie,Boreale,M,1991-12-08
10258,1955-12-12,Basil,Ishibashi,F,1985-05-17
10262,1955-08-04,Mahendra,Maraist,F,1992-07-27
10272,1954-11-30,Yishai,Cannane,M,1988-05-23
10278,1955-03-09,Lubomir,Nitsch,M,1991-05-17
10281,1953-05-13,Moty,Kusakari,M,1994-12-03
10282,1953-11-27,Hercules,Benzmuller,M,1986-06-04
10283,1953-07-08,Kauko,Birjandi,M,1988-05-25
10284,1954-04-08,Masali,Murrill,F,1997-07-02
10286,1952-05-14,Saddek,Gopalakrishnan,F,1988-03-21
10294,1955-01-05,Rutger,Miara,M,1996-04-08
10295,1953-01-13,Kristine,Velardi,M,1990-08-27
10298,1954-07-06,Dietrich,DuCasse,F,1999-03-30
10302,1954-10-11,Faiza,Baer,F,1986-07-22
10305,1952-06-30,Hirochika,Piancastelli,M,1988-10-31
10306,1953-06-02,Heng,Kilgour,M,1993-09-06
10307,1955-07-20,Nikolaos,Leaver,M,1991-04-10
10321,1955-12-12,Guenter,Ravishankar,M,1991-09-24
10322,1954-05-28,Isamu,Dahlbom,F,1990-01-29
10325,1953-01-12,Arunachalam,Badr,M,1990-09-20
10326,1953-02-13,Masali,Czap,F,1985-05-13
10327,1954-04-01,Roded,Facello,M,1987-09-18
10328,1955-06-28,Serenella,Kawashima,M,1994-01-16
10333,1953-04-27,Snehasis,Dymetman,M,1993-01-16
10340,1952-08-20,Djelloul,Laventhal,M,1987-06-05
10343,1954-11-01,Dinah,Syrzycki,M,1993-10-14
10347,1953-10-03,Pradeep,Kaminger,M,1985-12-12
10349,1954-04-29,Oksana,Brodie,F,1991-09-28
10350,1954-11-14,Kristen,Kavvadias,F,1990-08-19
10353,1953-01-15,Phule,Hammerschmidt,M,1989-08-24
10355,1952-12-10,Satyanarayana,Cochrane,M,1987-11-15
10356,1952-08-12,Vasilis,Standera,M,1988-08-06
10358,1953-04-08,Qunsheng,Tagansky,M,1991-02-19
10363,1953-11-28,Toshiki,Muniz,F,1985-09-11
10364,1954-09-21,Nakhoon,Dengi,M,1985-11-14
10367,1955-12-24,Hyuckchul,Gini,M,1991-06-24
10372,1952-04-08,Anneli,Frijda,F,1985-07-30
10374,1955-10-08,Willard,Rosin,F,1993-12-08
10377,1954-08-19,Marl,Grospietsch,M,1990-05-07
10382,1955-06-12,Shirish,Dredge,M,1990-07-04
10387,1952-11-03,Parto,Wrigley,F,1987-02-19
10388,1953-03-29,Hironoby,Kaiser,M,1996-03-24
10389,1953-03-24,Make,Peir,M,1995-10-31
10395,1952-02-17,Takahiro,Deverell,M,1987-02-04
10396,1955-08-21,Sibyl,Rahier,M,1986-01-11
10397,1955-11-11,Irena,Reutenauer,M,1993-05-21
10402,1953-07-23,Volkmar,Ebeling,M,1987-01-02
10404,1955-04-27,Prodip,Rosti,F,1988-08-28
10407,1955-07-05,Ulf,Siepmann,M,1990-03-08
10413,1952-05-05,Danel,Impagliazzo,F,1990-03-26
10414,1954-04-09,Yinlin,Alpin,M,1990-05-30
10418,1952-06-29,Candida,Porotnikoff,F,1989-04-20
10422,1954-06-02,Greger,Rubsam,F,1990-12-07
10426,1955-12-28,Arunas,Luce,F,1985-07-06
10429,1952-02-13,Martien,Improta,F,1986-03-09
10432,1953-11-06,Hisao,Tiemann,F,1985-04-30
10433,1954-09-02,Reuven,Dengi,M,1989-02-14
10442,1955-09-09,Volkmar,Unno,M,1988-03-13
10443,1952-12-03,Shichao,Litvinov,F,1989-08-01
10451,1952-10-06,Bodh,Ranta,F,1988-03-12
10453,1953-07-19,Tsvetan,Matzel,F,1985-04-02
10463,1954-05-20,Ung,Zaiane,M,1987-12-25
10466,1954-12-25,Jiakeng,Himler,M,1985-09-29
10477,1952-12-07,Guoxiang,Trogemann,F,1989-03-04
10486,1952-08-24,Amstein,Kossowski,F,1987-10-08
10494,1953-12-21,Yakkov,Servieres,F,1986-01-18
10497,1953-06-09,Pramod,Rabehasaina,M,1992-01-22
10499,1953-10-04,Maik,Luft,F,1989-11-23
10503,1952-05-17,Dannz,Pell,M,1991-04-30
10504,1953-04-07,Xiong,Varker,M,1988-12-03
10509,1953-10-03,Abdelwaheb,Riesenhuber,F,1990-02-23
10512,1955-11-16,Udi,Gihr,M,1986-01-12
10517,1953-06-18,Tiina,Speek,M,1990-12-25
10519,1955-12-28,Yonghoan,Alencar,F,1986-03-22
10522,1955-07-24,Marke,Cesareni,F,1986-12-12
10529,1952-11-21,Ymte,Yetto,M,1992-01-05
10531,1954-06-11,Oguz,Gimbel,F,1991-02-20
10538,1955-08-18,Przemyslawa,Falby,M,1987-07-23
10541,1955-11-05,Godehard,Eiter,M,1986-02-28
10542,1955-01-05,Yannis,Couchot,F,1989-03-28
10548,1952-06-12,Ramalingam,Gunderson,M,1986-05-04
10552,1953-03-25,Kazuhito,Shiratori,M,1998-08-18
10564,1955-04-14,Jianhao,Thisen,M,1986-05-08
10568,1953-12-02,Gao,Poulakidas,F,1989-02-14
10575,1954-06-29,Theirry,Yeung,M,1988-10-04
10586,1954-06-23,Kirk,Vuskovic,M,1992-02-04
10591,1952-12-22,Hidde,Hettesheimer,F,1987-06-18
10593,1952-07-24,Falguni,Kenevan,M,1990-09-12
10596,1954-01-24,Sanjit,Coors,M,1995-04-01
10603,1955-08-02,Wayne,Restivo,M,1995-07-20
10608,1955-07-11,Adhemar,Talmor,F,1986-05-25
10610,1955-06-24,Irena,Roccetti,F,1996-04-11
10614,1953-07-11,Gila,Ozeri,F,1990-03-03
10615,1955-08-30,Keung,Delgrande,M,1996-03-10
10617,1955-01-26,Hidekazu,Angel,F,1985-03-29
10623,1953-07-11,Aleksander,Danlos,F,1987-03-07
10624,1955-12-19,Sham,Gyorkos,F,1990-05-07
10628,1954-04-18,Krisda,Krogh,M,1985-09-11
10629,1954-03-23,Lalit,Francisci,F,1986-01-30
10630,1954-08-10,Bezalel,Katzenelson,F,1993-06-26
10631,1955-05-17,Inderjeet,Chaudhuri,M,1988-02-16
10634,1954-08-01,Nahid,Chepyzhov,M,1990-11-11
10636,1955-08-25,Saeko,Porotnikoff,F,1994-11-16
10637,1954-07-11,Heejo,Frolund,M,1993-07-11
10639,1953-04-18,Pramod,Erol,M,1992-10-25
10641,1953-12-24,Guozhong,Zucker,M,1993-03-21
10642,1955-12-19,Hirochika,Narlikar,M,1986-08-06
10653,1953-06-16,Otmar,Feinberg,M,1987-04-30
10667,1955-08-05,Makato,Cusworth,F,1990-06-25
10671,1953-06-12,Parviz,Rebaine,M,1987-01-08
10672,1954-03-23,Bluma,Zeilberger,M,1986-07-13
10676,1953-08-26,Valeri,Danley,F,1986-03-20
10683,1952-06-18,Guiseppe,Stranks,F,1993-09-07
10693,1953-12-14,Berhard,Daescu,F,1986-01-08
10694,1955-12-16,Rildo,Straney,M,1988-01-26
10696,1952-03-23,Unal,Fendler,M,1991-09-09
10702,1952-11-25,Bader,Szemeredi,M,1985-07-23
10712,1952-04-12,Uma,Koprowski,F,1994-08-18
10718,1955-12-19,Adib,Rullman,M,1988-07-21
10726,1954-01-11,Zita,Minakawa,F,1985-09-01
10731,1952-11-17,Fumitaka,Peak,M,1987-02-20
10734,1954-07-06,Sachar,Erdi,M,1985-04-03
10741,1954-01-02,Sven,Huttel,F,1989-01-06
10742,1955-03-13,Shim,Wiegley,M,1991-01-03
10745,1953-10-23,Poorav,Ranze,F,1987-05-26
10747,1955-02-02,Falguni,Khalid,M,1990-10-08
10749,1955-08-21,King,Brendel,M,1985-09-26
10750,1953-06-14,Roddy,Demeyer,F,1991-08-04
10751,1952-12-02,Jordanka,Ushiama,M,1987-04-15
10764,1953-01-12,Yunming,Beetstra,F,1989-11-27
10767,1954-02-28,Monique,Doering,F,1987-06-17
10768,1955-06-24,Ishfaq,Candan,M,1985-07-04
10777,1955-08-11,Mizuhito,Kemmerer,F,1988-07-05
10778,1953-03-13,Selwyn,Merey,M,1986-07-04
10780,1955-09-12,Goncalo,Staudhammer,M,1989-11-06
10782,1952-09-18,Kish,Perna,F,1991-10-21
10791,1954-05-27,Tadahiko,Sgarro,M,1988-07-30
10795,1954-12-14,Supot,Naudin,M,1985-05-21
10801,1953-03-05,Uinam,Zschoche,M,1994-06-27
10803,1952-09-15,Katsuyuki,Velasco,F,1988-04-20
10808,1955-09-11,Chenxi,Leijenhorst,M,1987-03-07
10811,1954-06-29,Ashish,Fortenbacher,M,1997-07-08
10813,1954-07-04,Shalesh,Shumilov,M,1990-04-27
10814,1952-09-17,Nidapan,Dymetman,F,1993-07-17
10826,1952-12-06,Arnd,Anandan,M,1993-01-22
10827,1953-09-25,Willard,Danley,M,1996-11-07
10829,1955-07-11,Alper,Narahara,F,1993-02-22
10830,1954-08-17,Fen,Fiebach,M,1991-08-24
10831,1953-10-11,Toong,Driscoll,M,1996-06-21
10833,1953-04-12,Krisda,Gecseg,F,1989-02-08
10834,1954-12-16,Huiqun,Rajcani,M,1990-11-24
10835,1952-11-23,Tomoyuki,Kermarrec,M,1985-07-28
10836,1953-07-15,Jianhua,Leivant,F,1985-07-26
10844,1954-02-03,Dipayan,Koprowski,M,1987-03-03
10846,1952-06-27,Tokuyasu,Serre,M,1994-01-26
10847,1952-03-04,Theirry,Danley,M,1986-07-25
10848,1954-07-16,Fen,Bratsberg,F,1985-04-20
10849,1953-03-05,Makato,Mayerwieser,M,1995-06-25
10854,1954-08-11,Jagoda,Nannarelli,M,1998-07-13
10858,1952-10-01,Kenroku,Gonthier,M,1996-08-15
10867,1952-10-01,Billur,Gyorkos,M,1986-10-08
10871,1952-10-24,Aram,Gilg,M,1989-02-15
10872,1952-02-21,Karoline,Speel,F,1990-09-06
10873,1952-07-09,Sukumar,Wegerle,M,1994-03-23
10876,1955-08-05,Vincent,Papastamatiou,F,1995-01-29
10878,1952-06-13,Lakshmi,Deville,M,1988-02-25
10879,1953-08-18,Muzhong,Chleq,F,1985-08-15
10882,1953-11-01,Fun,Heuser,M,1994-11-29
10883,1952-07-30,Shimshon,Champarnaud,M,1987-11-07
10885,1953-05-06,Rayond,Cronau,M,1991-08-19
10887,1953-01-16,Lunjin,DeMori,M,1989-03-16
10895,1952-03-21,Vishwani,Petersohn,M,1986-04-26
10900,1955-07-18,Ferdinand,Prenel,F,1995-09-07
10906,1952-02-06,Munehiro,Carrere,F,1994-01-20
10909,1954-11-11,Georgi,Atchley,M,1985-04-21
10912,1952-07-27,Oscal,Fasbender,M,1986-04-23
10913,1952-09-03,Narain,Thummel,M,1992-06-25
10918,1954-12-26,Susumu,Reghbati,M,1985-12-13
10920,1955-04-08,Ronghao,Narahara,M,1991-07-09
10921,1955-07-20,Mara,Bahi,F,1986-07-27
10922,1953-10-27,Kyoichi,Wossner,M,1992-08-09
10924,1954-04-27,Hironoby,Atchley,F,1988-08-14
10926,1954-10-13,Leni,Eppinger,F,1990-04-30
10927,1953-03-13,Gal,Scallan,M,1985-10-26
10930,1954-01-13,Arch,Minakawa,M,1990-08-09
10932,1955-11-19,Avishai,Picci,F,1994-09-09
10936,1953-04-08,Mountaz,Schicker,F,1987-10-27
10940,1953-01-07,Aleksander,Fioravanti,F,1994-12-02
10942,1952-08-08,Toshimitsu,Larfeldt,F,1989-09-08
10943,1955-11-19,Berna,Skafidas,M,1988-02-19
10944,1952-05-25,Remko,Zyda,M,1991-05-24
10947,1954-09-29,Gor,Usery,F,1995-11-16
10948,1952-12-23,Shigehito,Brodie,M,1996-09-30
10949,1953-08-14,Shigeichiro,Wroclawski,F,1990-03-13
10956,1955-02-02,Arno,Picel,M,1992-06-29
10965,1955-07-10,Eckart,Braunschweig,M,1986-07-29
10969,1954-09-05,Premal,Noriega,M,1988-08-22
10971,1955-02-08,Isamu,Vadhan,M,1991-07-30
10974,1952-03-07,Muneo,Papsdorf,M,1985-11-25
10985,1952-05-31,Chiradeep,Furedi,F,1990-12-10
10986,1954-08-11,Masako,Schiper,M,1985-10-11
10987,1952-11-26,Flemming,Baezner,M,1995-12-19
10988,1955-06-24,Chinya,Deyuan,M,1985-06-19
10989,1954-09-08,Sumali,Candan,F,1985-07-20
10990,1954-10-22,Shin,Foote,M,1988-07-06
10996,1955-02-01,Matk,Rahimi,F,1990-02-07
11002,1952-02-26,Bluma,Ulupinar,M,1996-12-23
11004,1954-08-05,JoAnna,Decleir,F,1992-01-19
11009,1954-08-30,Alper,Axelband,F,1986-09-09
11012,1953-09-12,Taegyun,Speckmann,F,1986-12-28
11019,1954-09-06,Leon,Huttel,M,1985-02-04
11021,1954-07-13,Srinidhi,Henders,F,1985-05-24
11024,1954-06-17,Manton,Collavizza,M,1995-04-05
11027,1955-12-13,Remzi,Cappello,M,1986-05-07
11028,1952-02-23,Miyeon,Krider,M,1986-06-18
11031,1954-12-20,Ottavia,Walstra,M,1985-04-26
11032,1953-04-19,Erez,Schaaf,M,1992-03-12
11037,1952-05-22,Lansing,Maliniak,M,1988-01-28
11038,1955-10-13,Jinya,Beidas,M,1985-07-15
11042,1955-07-13,Gou,Breugel,F,1988-06-26
11048,1952-10-26,Jaques,Demke,M,1985-02-26
11050,1952-09-23,Elvis,Katiyar,M,1986-05-06
11051,1952-10-06,Przemyslawa,Erol,F,1985-08-09
11056,1955-10-24,Palash,Speel,F,1992-08-19
11060,1953-06-30,Genevieve,Pokrovskii,F,1991-05-03
11061,1954-11-11,Pintsang,Erni,M,1993-02-19
11064,1952-08-10,Shawna,Vieri,F,1990-02-28
11066,1954-11-06,Shaz,Langford,M,1995-10-04
11070,1952-06-30,Adib,Raney,M,1985-07-24
11071,1954-07-18,Kwan,Sigstam,F,1992-05-23
11075,1954-10-28,Karsten,Belinskaya,F,1996-10-29
11077,1953-01-28,Hideyuki,Merro,F,1995-10-10
11079,1952-09-18,Piyush,Garigliano,M,1993-10-09
11081,1952-06-20,Barry,Boyle,M,1985-06-17
11083,1954-07-09,Shimshon,Ducloy,M,1989-11-27
11084,1955-07-03,Greger,Senzako,M,1990-05-31
11085,1953-09-08,Hailing,Thummel,M,1986-11-27
11087,1954-05-17,Changho,Jayawardene,M,1994-10-10
11089,1955-02-18,Conal,Henders,F,1994-08-13
11091,1952-10-10,Souichi,Ramsay,F,1992-01-21
11092,1954-09-28,Narain,Stamatiou,M,1992-03-30
11098,1953-09-11,Arnd,Covnot,F,1990-04-02
11100,1955-10-14,Berna,Cochrane,M,1986-10-13
11106,1955-02-23,Aris,Iwayama,F,1985-08-31
11110,1955-12-11,Valeska,Birjandi,F,1987-11-14
11111,1954-07-14,Udi,Zastre,F,1994-12-25
11112,1954-08-05,Boaz,Mukaidono,M,1987-08-20
11113,1953-04-28,Shahab,Peng,F,1985-11-30
11114,1955-09-08,Tse,Felcyn,M,1989-10-14
11119,1955-07-09,Ramzi,Luga,F,1994-06-21
11121,1953-02-13,Vugranam,Kakkad,F,1987-02-21
11130,1953-01-17,Xinyu,Menhoudj,M,1993-06-07
11132,1952-08-01,Kristin,Harnett,M,1994-08-30
11133,1955-12-13,Nalini,Azulay,M,1988-02-04
11134,1954-05-15,Sachar,Rajcani,F,1988-05-26
11137,1955-03-17,Hugh,Luca,M,1986-07-31
11139,1955-10-13,Bogdan,Homond,F,1985-12-24
11143,1955-03-06,Yongdong,Rosen,M,1996-05-09
11144,1954-12-07,Carrsten,Heinisuo,M,1993-11-18
11145,1954-01-14,Jinxi,Baak,F,1990-02-06
11146,1954-06-25,Ishfaq,Masand,F,1988-03-21
11147,1955-09-26,Ayonca,Nitsch,M,1992-01-28
11148,1953-01-23,Zhanqiu,Botman,F,1985-07-06
11156,1954-04-13,Tomoyuki,Armand,M,1995-09-07
11158,1952-02-23,Masaki,Hagimont,M,1996-04-20
11162,1953-03-25,Kauko,Narlikar,F,1985-03-28
11168,1953-05-03,Shmuel,Tetzlaff,F,1996-07-15
11170,1952-05-05,Minghong,Cannard,M,1989-12-29
11174,1952-09-14,Akhilish,Milicia,M,1996-05-24
11177,1954-04-09,Chrisa,dAstous,M,1998-04-05
11180,1952-11-07,Mitsuyuki,Bojadziev,F,1986-06-11
11181,1952-05-28,Hausi,Cullers,M,1992-07-11
11185,1954-04-10,Aloys,Baezner,M,1995-01-26
11186,1953-07-15,Kshitij,Stasinski,M,1994-12-10
11189,1953-03-07,Dante,Bodoff,F,1991-09-07
11192,1952-09-06,Apostol,Bahr,M,1991-09-30
11195,1953-09-04,Masanao,Lovengreen,M,1991-06-13
11197,1955-05-11,Tadahiro,Fordan,M,1986-04-13
11201,1952-05-20,Jouko,Masaki,M,1995-10-31
11203,1952-06-24,Sakthirel,Yetto,M,1988-01-06
11204,1955-12-15,Diederik,Covnot,M,1985-09-18
11206,1954-07-14,Steen,Sury,M,1993-05-07
11207,1955-08-14,Saeed,Gips,F,1987-11-09
11208,1952-05-29,Saniya,Valtorta,F,1988-08-26
11211,1952-12-11,Yurij,Rissland,M,1985-09-17
11213,1955-10-19,Vugranam,Munoz,F,1998-06-17
11217,1954-07-01,Kellie,Mawatari,M,1987-09-22
11218,1953-06-03,Kirk,Hemaspaandra,M,1994-04-06
11221,1953-11-29,Alselm,Hammerschmidt,M,1989-08-22
11229,1953-10-20,Gretta,Ramamoorthy,M,1991-07-26
11232,1955-09-03,Hidefumi,Crelier,M,1988-02-02
11233,1952-05-08,Sanjit,Waschkowski,F,1991-06-17
11240,1955-08-12,Kiam,Condotta,M,1988-11-11
11243,1955-06-14,Udi,Desikan,F,1994-12-08
11249,1954-10-01,Randi,Cyre,M,1985-08-29
11251,1955-10-16,Bezalel,Chinal,M,1985-11-26
11253,1952-09-11,Koldo,Pokrovskii,M,1992-05-22
11254,1954-12-14,Danel,Rindone,F,1998-12-19
11258,1953-10-12,Aris,Maccarone,F,1991-03-28
11266,1955-08-09,Florina,Rohrbach,M,1995-04-04
11267,1955-10-18,Shaunak,Zaumen,M,1989-06-14
11268,1954-05-14,Aimee,Petersohn,F,1985-05-17
11274,1954-09-08,Masanao,Nicolson,F,1989-10-08
11275,1955-10-18,Hitomi,Eppinger,F,1987-05-26
11288,1953-03-23,Domenico,Eastman,F,1989-01-22
11289,1953-03-20,Chuanti,Cherinka,M,1989-02-22
11290,1953-05-07,Visit,Dredge,M,1985-09-08
11291,1953-11-01,Gino,Glowinski,M,1985-10-20
11292,1953-05-18,Souichi,Sichman,F,1989-02-11
11294,1954-06-11,Tru,Segond,F,1989-06-13
11295,1953-02-03,Abdelkader,Lanzelotte,M,1985-05-15
11296,1954-12-24,Hironobu,Kenevan,M,1989-09-26
11297,1954-03-19,Geraldo,Levergood,M,1990-12-04
11300,1952-12-14,Lillian,Fontet,M,1992-09-10
11301,1953-08-19,Mingzeng,Oxenboll,F,1989-05-23
11302,1955-06-20,Shem,Senzako,M,1991-07-01
11315,1955-04-21,Neven,Meriste,M,1999-07-17
11317,1954-07-24,Shigeaki,Hagimont,F,1989-12-21
11319,1955-06-05,Pranas,Marrakchi,F,1986-10-03
11320,1954-04-13,Atilio,McAlpine,M,1987-11-24
11322,1952-07-19,Nathalie,Pocchiola,F,1985-02-08
11324,1953-11-16,Kauko,Billingsley,F,1985-08-29
11325,1952-02-06,Samphel,Rossi,F,1999-01-10
11326,1952-09-15,Munenori,Plesums,F,1990-02-19
11338,1954-11-03,Kwangsub,Hanratty,M,1987-04-14
11339,1954-06-05,Flemming,Massonet,M,1987-05-09
11340,1952-12-04,Aris,Bala,M,1991-09-11
11343,1954-09-10,Susanne,Erez,M,1989-02-27
11347,1954-12-27,Anneli,Jonsson,M,1986-04-20
11349,1953-09-05,Yurii,Hammerschmidt,M,1992-06-27
11360,1953-05-24,Fen,Schach,M,1989-01-12
11365,1953-11-17,Toshimi,Shinomoto,M,1988-04-02
11372,1953-09-04,Susanta,Vilarrasa,M,1993-05-14
11373,1953-07-29,Yongmao,Keohane,F,1989-10-28
11376,1952-03-10,Valery,Suomi,M,1986-03-14
11380,1952-04-23,Kenroku,Pelc,M,1988-03-03
11385,1952-03-04,Shiv,Ullian,M,1988-05-22
11386,1954-09-27,Alselm,Assaf,F,1987-11-30
11387,1954-07-18,Jordanka,Kalloufi,M,1997-05-11
11393,1954-05-17,Junsik,Junot,M,1985-04-30
11396,1955-02-06,Anneke,Servieres,F,1997-02-04
11398,1953-05-30,Oscar,Peir,M,1986-08-23
11401,1952-12-20,Huan,Merey,F,1995-04-15
11404,1954-09-15,Bedrich,Borovoy,M,1987-03-06
11406,1955-04-11,Eberhardt,Gini,F,1989-03-13
11410,1953-11-27,Gro,Vendrig,M,1997-07-13
11414,1952-08-08,Eishiro,Pearson,M,1989-01-02
11415,1953-10-29,Sanjiv,Anido,M,1987-03-03
11417,1954-11-20,Anneli,Cyne,M,1990-05-15
11418,1954-03-21,Satosi,Cooley,F,1991-07-27
11420,1955-04-30,Tsutomu,Lalonde,F,1992-01-31
11421,1953-11-07,Josyula,Msuda,F,1986-09-02
11423,1954-09-16,Guangming,Kopetz,M,1993-06-14
11425,1955-11-20,Renee,Crelier,M,1990-08-27
11428,1953-07-08,Remco,Reinhart,M,1994-07-31
11431,1954-08-05,Youngkon,Picht,M,1985-09-16
11441,1954-11-16,Marlo,Aingworth,M,1987-03-27
11446,1954-06-20,Naftali,Narahara,M,1989-02-09
11449,1955-03-30,Kotesh,Asser,M,1986-08-27
11451,1955-05-05,Eben,Rajaraman,M,1990-05-20
11452,1953-01-16,Shigehito,Luby,F,1993-08-26
11459,1953-10-14,Duke,Suomi,M,1986-05-03
11460,1955-11-19,Mana,Maraist,M,1992-03-14
11461,1955-04-18,Kish,Cronau,M,1986-08-19
11468,1955-12-02,Navin,Maksimenko,F,1996-03-19
11469,1952-12-01,Guttorm,Giaccio,M,1988-05-23
11474,1953-04-17,Gennady,Akazan,M,1990-07-26
11476,1954-06-20,Manton,Yoshizawa,F,1994-01-15
11477,1955-05-15,Fox,Narahari,M,1985-09-10
11479,1953-12-02,Shridhar,Pleszkun,M,1998-08-23
11501,1952-03-26,Karsten,Ranum,F,1988-12-14
11503,1953-08-01,Nathan,Picht,F,1993-01-25
11506,1955-06-16,Rance,Picel,F,1986-07-01
11509,1954-06-18,Aleksander,Feldhoffer,M,1987-11-12
11513,1954-07-16,Otmar,Mahnke,M,1986-03-27
11515,1955-03-03,Ulf,Basawa,F,1986-02-27
11518,1953-07-21,Jinxi,Oxman,M,1985-07-03
11519,1954-11-26,Halsur,Chinen,F,1989-11-09
11521,1952-06-14,Eldridge,Eastman,F,1995-10-17
11523,1953-01-25,Yuguang,Pezzoli,F,1992-12-23
11524,1955-10-26,Xiadong,Standera,M,1988-09-20
11526,1954-04-19,Tonny,Impagliazzo,M,1992-02-23
11527,1952-02-06,Alagu,Boyle,M,1988-07-03
11528,1955-04-26,Zito,Dolinsky,M,1987-06-15
11531,1952-09-08,Radhika,Motley,M,1990-02-27
11533,1953-10-30,Vitaly,Lorch,M,1991-08-20
11537,1955-06-29,DAIDA,Pehl,M,1986-07-06
11540,1954-01-26,Chanjung,Portugali,M,1993-02-09
11554,1955-05-28,Subhash,Taubenfeld,M,1988-10-17
11555,1955-08-05,Kotesh,Perfilyeva,M,1986-10-14
11562,1953-06-22,Rimli,Alencar,M,1988-06-30
